mechanism,epsilon,mse
S2DP (Local),0.2,37777585.21640852
Central DP,0.2,6963.318833120879
S2DP (Local),0.5,5746329.366596309
Central DP,0.5,1120.4141984288
S2DP (Local),1.0,1443431.2206855637
Central DP,1.0,289.67019684920945
S2DP (Local),2.0,375404.33228701813
Central DP,2.0,69.48008074815948
S2DP (Local),5.0,59515.756795060326
Central DP,5.0,11.373319851804796
S2DP (Local),0.2,35370684.897264786
Central DP,0.2,6948.70054600758
S2DP (Local),0.5,5938020.412525955
Central DP,0.5,1107.0979265324838
S2DP (Local),1.0,1450627.6647706633
Central DP,1.0,284.07090239645765
S2DP (Local),2.0,357357.80313229363
Central DP,2.0,73.44142126599257
S2DP (Local),5.0,58042.24227807046
Central DP,5.0,11.351785985927993
S2DP (Local),0.2,38044931.28260171
Central DP,0.2,7187.0590684032295
S2DP (Local),0.5,5610802.417125898
Central DP,0.5,1172.5360050812408
S2DP (Local),1.0,1413926.0302876683
Central DP,1.0,274.19391603618914
S2DP (Local),2.0,384672.5141065542
Central DP,2.0,67.04431367117859
S2DP (Local),5.0,61827.67673976885
Central DP,5.0,11.191225895778427
S2DP (Local),0.2,36512977.996245116
Central DP,0.2,6868.77694228092
S2DP (Local),0.5,5715289.399532197
Central DP,0.5,1177.9674396156504
S2DP (Local),1.0,1471796.6473011903
Central DP,1.0,302.49983568164896
S2DP (Local),2.0,363633.8796038439
Central DP,2.0,71.49338619476367
S2DP (Local),5.0,57464.89701510994
Central DP,5.0,11.448559281167947
S2DP (Local),0.2,36357435.06164971
Central DP,0.2,7346.10618091859
S2DP (Local),0.5,5665037.758679478
Central DP,0.5,1116.644419171802
S2DP (Local),1.0,1501620.503117688
Central DP,1.0,291.09420965452523
S2DP (Local),2.0,357012.4969288652
Central DP,2.0,69.90462188022582
S2DP (Local),5.0,60885.45257032592
Central DP,5.0,11.16705753998233
S2DP (Local),0.2,34696486.05320663
Central DP,0.2,7051.2643436362
S2DP (Local),0.5,5994742.57633002
Central DP,0.5,1069.2199849979665
S2DP (Local),1.0,1564553.6658954737
Central DP,1.0,292.52380684732884
S2DP (Local),2.0,372364.711266106
Central DP,2.0,70.73992068375021
S2DP (Local),5.0,59324.407877405894
Central DP,5.0,11.457299636973488
S2DP (Local),0.2,37766653.51255244
Central DP,0.2,7239.438600340998
S2DP (Local),0.5,5847393.267358136
Central DP,0.5,1160.4084255981363
S2DP (Local),1.0,1411034.2399836509
Central DP,1.0,273.0571606745968
S2DP (Local),2.0,358503.0466121629
Central DP,2.0,73.6661961990115
S2DP (Local),5.0,58128.30761520494
Central DP,5.0,11.427118264285184
S2DP (Local),0.2,37429199.7446831
Central DP,0.2,7528.31519631774
S2DP (Local),0.5,5932250.142298772
Central DP,0.5,1104.132485658126
S2DP (Local),1.0,1459066.3581147694
Central DP,1.0,276.91378288272
S2DP (Local),2.0,375923.06260704866
Central DP,2.0,67.47196190151593
S2DP (Local),5.0,59528.84743861159
Central DP,5.0,11.47152299261467
S2DP (Local),0.2,36858108.80237369
Central DP,0.2,6954.368996134144
S2DP (Local),0.5,5925663.95599098
Central DP,0.5,1146.008530392564
S2DP (Local),1.0,1457535.843853049
Central DP,1.0,293.18789128307793
S2DP (Local),2.0,365524.0692093771
Central DP,2.0,71.83351812712743
S2DP (Local),5.0,57871.5194204828
Central DP,5.0,11.755201463370916
S2DP (Local),0.2,36624144.16486541
Central DP,0.2,6755.6275601127
S2DP (Local),0.5,6157469.918102402
Central DP,0.5,1117.0251825061484
S2DP (Local),1.0,1436086.0396262126
Central DP,1.0,291.296238611405
S2DP (Local),2.0,371243.40855696274
Central DP,2.0,71.3767067770133
S2DP (Local),5.0,56784.89040125079
Central DP,5.0,11.34818472917345
