B_public,mse,violations
10.0,1037388.9421913812,0
15.0,1479780.5539376163,0
20.0,2021519.0228941082,0
40.0,4061745.7685855455,0
10.0,986524.4946761215,0
15.0,1555379.2733314377,0
20.0,2029121.388302215,0
40.0,3976650.8763144943,0
10.0,962354.5192320267,0
15.0,1557904.0916994337,0
20.0,1937609.254648016,0
40.0,3886404.5812324663,0
10.0,989996.3814206807,0
15.0,1475062.4036813083,0
20.0,1982506.3641123718,1
40.0,4018220.2189124655,0
10.0,945407.8538657367,0
15.0,1486458.1587744728,0
20.0,1910287.805250386,0
40.0,4023725.6297881226,0
10.0,988901.632400591,0
15.0,1442768.0526439534,0
20.0,1901026.5503297606,0
40.0,4028573.2845983817,0
10.0,981860.5408511345,0
15.0,1478496.0375571712,1
20.0,1986347.363170012,0
40.0,3987966.676127992,0
10.0,1010336.6744566194,0
15.0,1473883.1916836484,0
20.0,1939897.466436567,0
40.0,3742290.094970826,0
10.0,1028963.7586203365,1
15.0,1448030.2007303461,0
20.0,1994347.0408010345,0
40.0,3884197.829429696,0
10.0,973050.9163887713,0
15.0,1494855.5560446316,1
20.0,1957283.1380170144,0
40.0,3956806.146969715,0
