dropout_mode,mse
permanent,2861435.83517738
intermittent,2746353.4403774724
permanent,2746108.033950042
intermittent,2883810.2237181193
permanent,2686242.4354438614
intermittent,2892912.114029216
permanent,2739419.6421768623
intermittent,2806994.623073722
permanent,2677992.049040215
intermittent,2748824.020706763
permanent,2787975.012306097
intermittent,2766614.882284443
permanent,2714055.542139788
intermittent,2886363.0241680983
permanent,2695253.6758511183
intermittent,2786140.7614008575
permanent,2734170.4058361775
intermittent,2883869.2223468595
permanent,2665806.4115012777
intermittent,2756087.43170131
