n_subjects,n_parties,M_rounds,runtime,comms_bytes,peak_rss_mb
200,4,20,1.1201702080434188,16000000,45.828125
200,4,50,2.8605382919777185,40000000,43.984375
200,8,20,2.290817832981702,28800000,56.140625
200,8,50,5.732853042019997,72000000,56.71875
200,16,20,4.5988637920236215,54400000,30.609375
200,16,50,9.623272292024922,136000000,74.546875
500,4,20,5.0922922500176355,40000000,75.984375
500,4,50,12.189902083016932,100000000,77.359375
500,8,20,7.58580283401534,72000000,93.09375
500,8,50,18.128282958001364,180000000,90.609375
500,16,20,13.284395582973957,136000000,112.078125
500,16,50,33.329430792015046,340000000,92.09375
1000,4,20,5.513406958023552,80000000,140.171875
1000,4,50,13.219187541981228,200000000,162.953125
1000,8,20,9.578464291989803,144000000,126.28125
1000,8,50,23.86208925000392,360000000,138.15625
1000,16,20,19.118433042021934,272000000,155.578125
1000,16,50,47.402220624964684,680000000,166.6875
