lambda,analytic_sensitivity,empirical_sensitivity
1e-07,930.4753459827264,21.395684785049028
1e-05,936.7520331958535,23.999013692294902
0.001,828.9573955338788,19.4058783363146
0.1,252.3647633005647,19.73519743641608
1e-07,930.4753459827264,22.25271108823751
1e-05,936.7520331958535,36.356844450506415
0.001,828.9573955338788,22.37396752180536
0.1,252.3647633005647,18.07720328990474
1e-07,930.4753459827264,23.096710677528563
1e-05,936.7520331958535,24.054844956006693
0.001,828.9573955338788,22.28556549771713
0.1,252.3647633005647,20.882030510762874
1e-07,930.4753459827264,23.59825101707818
1e-05,936.7520331958535,24.86306790150064
0.001,828.9573955338788,22.113062546884038
0.1,252.3647633005647,21.678345094821708
1e-07,930.4753459827264,25.409538631243876
1e-05,936.7520331958535,27.97896768307086
0.001,828.9573955338788,21.669904465041274
0.1,252.3647633005647,20.266074104932233
1e-07,930.4753459827264,23.247232868251643
1e-05,936.7520331958535,21.855802462029484
0.001,828.9573955338788,24.588445089094158
0.1,252.3647633005647,20.996494781196514
1e-07,930.4753459827264,21.5396495934196
1e-05,936.7520331958535,21.134709567443178
0.001,828.9573955338788,22.38598548001322
0.1,252.3647633005647,21.771701002918743
1e-07,930.4753459827264,23.33124767742273
1e-05,936.7520331958535,22.990540097233357
0.001,828.9573955338788,21.936807937186373
0.1,252.3647633005647,17.850798851597737
1e-07,930.4753459827264,25.418019085963973
1e-05,936.7520331958535,22.9883494101043
0.001,828.9573955338788,19.752643856362706
0.1,252.3647633005647,19.294186801488447
1e-07,930.4753459827264,24.0032801507797
1e-05,936.7520331958535,23.108954919182807
0.001,828.9573955338788,21.877989544507532
0.1,252.3647633005647,18.99282628966478
